CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                   PORTS                                                                                                                                                                          NAMES
02782bac2ece   vulhub/weblogic:12.2.1.3-2018                           "/u01/oracle/createA…"   7 hours ago    Up 7 hours               0.0.0.0:8109->7001/tcp, [::]:8109->7001/tcp                                                                                                                                    cve-2020-14882-weblogic-1
98dd2038720c   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8177->8080/tcp, [::]:8177->8080/tcp                                                                                                                                    cve-2020-17526-airflow-webserver-1
37ed065c51dc   vulhub/spring-with-jackson:2.8.8                        "java -jar /jackson.…"   7 hours ago    Up 7 hours               0.0.0.0:8198->8080/tcp, [::]:8198->8080/tcp                                                                                                                                    cve-2017-7525-web-1
a71d0fd1130d   vulhub/jboss:as-6.1.0                                   "/run.sh"                7 hours ago    Up 7 hours               0.0.0.0:9990->9990/tcp, [::]:9990->9990/tcp, 0.0.0.0:8400->8080/tcp, [::]:8400->8080/tcp                                                                                       jmxinvokerservlet-deserialization-jboss-1
bcb92d7ac13b   vulhub/apisix:2.11.0                                    "sh -c '/usr/bin/api…"   7 hours ago    Up 7 hours               0.0.0.0:8333->9080/tcp, [::]:8333->9080/tcp, 0.0.0.0:8334->9091/tcp, [::]:8334->9091/tcp, 0.0.0.0:8335->9443/tcp, [::]:8335->9443/tcp                                          cve-2020-13945-apisix-1
8ad7953a8659   vulhub/apache-druid:0.20.0                              "/opt/druid/bin/star…"   7 hours ago    Up 7 hours               0.0.0.0:8282->8888/tcp, [::]:8282->8888/tcp                                                                                                                                    cve-2021-25646-web-1
68d43f47f14f   vulhub/jenkins:2.46.1                                   "/usr/local/bin/jenk…"   7 hours ago    Up 7 hours               0.0.0.0:8182->8080/tcp, [::]:8182->8080/tcp, 0.0.0.0:8270->50000/tcp, [::]:8270->50000/tcp                                                                                     cve-2017-1000353-jenkins-1
a67a25f57da2   vulhub/jmeter:3.3                                       "/bin/sh -c /usr/src…"   7 hours ago    Up 7 hours               0.0.0.0:8155->1099/tcp, [::]:8155->1099/tcp                                                                                                                                    cve-2018-1297-jmeter-1
574dfec7ef01   vulhub/activemq:5.17.3                                  "/opt/activemq/bin/a…"   7 hours ago    Up 7 hours               1883/tcp, 5672/tcp, 61613-61614/tcp, 0.0.0.0:8305->5005/tcp, [::]:8305->5005/tcp, 0.0.0.0:8307->8161/tcp, [::]:8307->8161/tcp, 0.0.0.0:8306->61616/tcp, [::]:8306->61616/tcp   cve-2022-41678-activemq-1
298b52c4d33f   vulhub/mongo-express:0.53.0                             "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8208->8081/tcp, [::]:8208->8081/tcp                                                                                                                                    cve-2019-10758-web-1
0d358b552011   mongo:3.4                                               "docker-entrypoint.s…"   7 hours ago    Up 7 hours               27017/tcp                                                                                                                                                                      cve-2019-10758-mongo-1
6502c4b9ccb7   vulhub/struts2:2.5.16                                   "/usr/local/bin/mvn-…"   7 hours ago    Up 7 hours               0.0.0.0:8350->8080/tcp, [::]:8350->8080/tcp                                                                                                                                    s2-059-struts2-1
577f590a9569   vulhub/struts2:2.3.28                                   "/usr/local/bin/mvn-…"   7 hours ago    Up 7 hours               0.0.0.0:8349->8080/tcp, [::]:8349->8080/tcp                                                                                                                                    s2-032-struts2-1
e35b0b3079fe   vulhub/struts2:2.3.30                                   "/usr/local/bin/mvn-…"   7 hours ago    Up 7 hours               0.0.0.0:8348->8080/tcp, [::]:8348->8080/tcp                                                                                                                                    s2-046-struts2-1
a842d15eb648   vulhub/cacti:1.2.22                                     "bash /entrypoint.sh…"   7 hours ago    Up 7 hours               0.0.0.0:8195->80/tcp, [::]:8195->80/tcp                                                                                                                                        cve-2022-46169-web-1
b4735a9a52cb   mysql:5.7                                               "docker-entrypoint.s…"   7 hours ago    Up 7 hours               3306/tcp, 33060/tcp                                                                                                                                                            cve-2022-46169-db-1
fb2179bc6333   vulhub/gitlab:13.10.1                                   "/sbin/entrypoint.sh…"   7 hours ago    Up 7 hours               443/tcp, 0.0.0.0:8274->22/tcp, [::]:8274->22/tcp, 0.0.0.0:8189->80/tcp, [::]:8189->80/tcp                                                                                      cve-2021-22205-gitlab-1
bacc4331d644   redis:5.0.9-alpine                                      "docker-entrypoint.s…"   7 hours ago    Up 7 hours               6379/tcp                                                                                                                                                                       cve-2021-22205-redis-1
a1f2596b6053   postgres:12-alpine                                      "docker-entrypoint.s…"   7 hours ago    Up 7 hours               5432/tcp                                                                                                                                                                       cve-2021-22205-postgresql-1
8cee38bd0bc3   vulhub/imagemagick:7.0.8-27-php                         "php -t /var/www/htm…"   7 hours ago    Up 7 hours               0.0.0.0:8193->8080/tcp, [::]:8193->8080/tcp                                                                                                                                    cve-2019-6116-web-1
cb97fbcc3e38   vulhub/imagemagick:7.0.8-20-php                         "php -t /var/www/htm…"   7 hours ago    Up 7 hours               0.0.0.0:8192->8080/tcp, [::]:8192->8080/tcp                                                                                                                                    cve-2018-19475-web-1
e5fa95939e48   vulhub/imagemagick:7.0.8-10-php                         "php -t /var/www/htm…"   7 hours ago    Up 7 hours               0.0.0.0:8194->8080/tcp, [::]:8194->8080/tcp                                                                                                                                    cve-2018-16509-web-1
0acc21be7ed0   vulhub/geoserver:2.23.2                                 "/mnt/geoserver/bin/…"   7 hours ago    Up 7 hours               0.0.0.0:8276->5005/tcp, [::]:8276->5005/tcp, 0.0.0.0:8206->8080/tcp, [::]:8206->8080/tcp                                                                                       cve-2024-36401-web-1
63f8e35138f3   vulhub/flink:1.11.2                                     "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8277->6123/tcp, [::]:8277->6123/tcp, 0.0.0.0:8210->8081/tcp, [::]:8210->8081/tcp                                                                                       cve-2020-17518-flink-1
f8731bd90bc8   vulhub/ofbiz:17.12.01                                   "java -agentlib:jdwp…"   7 hours ago    Up 7 hours               0.0.0.0:8292->5005/tcp, [::]:8292->5005/tcp, 0.0.0.0:8291->8443/tcp, [::]:8291->8443/tcp                                                                                       cve-2020-9496-web-1
cd44a840fe2e   vulhub/xstream:1.4.16                                   "java -jar /xstream-…"   7 hours ago    Up 7 hours               0.0.0.0:8142->8080/tcp, [::]:8142->8080/tcp                                                                                                                                    cve-2021-29505-web-1
ce0cb56a60db   vulhub/libssh:0.8.1                                     "/bin/sh -c '/usr/sr…"   7 hours ago    Up 7 hours               0.0.0.0:8227->22/tcp, [::]:8227->22/tcp                                                                                                                                        cve-2018-10933-sshd-1
